証券コード,銘柄,市場,備考
4062,イビデン,プライム,日経平均株価採用銘柄
6448,ブラザー工業,プライム,
6479,ミネベアミツミ,プライム,日経平均株価採用銘柄
6501,日立製作所,プライム,日経平均株価採用銘柄
6503,三菱電機,プライム,日経平均株価採用銘柄
6504,富士電機,プライム,日経平均株価採用銘柄
6506,安川電機,プライム,日経平均株価採用銘柄
6590,芝浦メカトロニクス,プライム,
6632,JVCケンウッド,プライム,
6645,オムロン,プライム,日経平均株価採用銘柄
6670,MCJ,スタンダード,
6701,日本電気,プライム,日経平均株価採用銘柄
6702,富士通,プライム,日経平均株価採用銘柄
6707,サンケン電気,プライム,
6723,ルネサスエレクトロニクス,プライム,日経平均株価採用銘柄
6724,セイコーエプソン,プライム,日経平均株価採用銘柄
6728,アルバック,プライム,
6752,パナソニックホールディングス,プライム,日経平均株価採用銘柄
6758,ソニーグループ,プライム,日経平均株価採用銘柄
6762,TDK,プライム,日経平均株価採用銘柄
6787,メイコー,プライム,
6806,ヒロセ電機,プライム,
6841,横河電機,プライム,日経平均株価採用銘柄
6845,アズビル,プライム,
6849,日本光電工業,プライム,
6856,堀場製作所,プライム,
6857,アドバンテスト,プライム,日経平均株価採用銘柄
6861,キーエンス,プライム,日経平均株価採用銘柄
6869,シスメックス,プライム,
6920,レーザーテック,プライム,日経平均株価採用銘柄
6951,日本電子,プライム,
6954,ファナック,プライム,日経平均株価採用銘柄
6965,浜松ホトニクス,プライム,
6966,三井ハイテック,プライム,
6981,村田製作所,プライム,日経平均株価採用銘柄
7276,小糸製作所,プライム,
7735,SCREENホールディングス,プライム,日経平均株価採用銘柄
7751,キヤノン,プライム,日経平均株価採用銘柄
8035,東京エレクトロン,プライム,日経平均株価採用銘柄
